policy,avg_ppl,ppl_wikitext,ppl_pg19,kept_fraction_ppl,tpot_s,ttft_s,throughput_tok_s,kept_fraction_prompt,flops_ratio_vs_dense,avg_ppl_rank,tpot_s_rank,flops_ratio_vs_dense_rank,balanced_rank,pareto_frontier
hybrid_expected_observed,37.8698185,42.667344,33.072293,0.257812,0.005754,0.006102,173.453,0.257812,0.280984,4.0,3.0,1.0,2.6666666666666665,True
observed,40.107425500000005,48.344999,31.869852,0.257812,0.005716,0.005853,174.802,0.257812,0.280984,7.0,1.0,1.0,3.0,True
expected,26.325533500000002,17.790787,34.86028,0.257812,0.005803,0.005949,172.184,0.257812,0.280984,1.0,8.0,1.0,3.3333333333333335,True
expected_pyramid,35.06594,36.236221,33.895659,0.258789,0.00572,0.006006,174.562,0.258789,0.28193,2.0,2.0,8.0,4.0,True
hybrid_soft_pyramid,38.883565000000004,45.051887,32.715243,0.257812,0.005761,0.005889,173.454,0.257812,0.280984,6.0,4.0,1.0,3.6666666666666665,False
layer_adaptive_expected_pyramid,37.2790495,41.307098,33.251001,0.258789,0.005767,0.006037,173.141,0.258789,0.28193,3.0,5.0,8.0,5.333333333333333,False
snapkv,42.340398,51.625105,33.055691,0.257812,0.0058,0.005762,172.446,0.257812,0.280984,8.0,7.0,1.0,5.333333333333333,False
pyramidkv,38.085158,43.884134,32.286182,0.258789,0.005784,0.005855,172.821,0.258789,0.28193,5.0,6.0,8.0,6.333333333333333,False
streaming,46.147615,59.631916,32.663314,0.257812,0.00587,0.006356,169.914,0.257812,0.280984,9.0,9.0,1.0,6.333333333333333,False
tova,53.3860175,74.138525,32.63351,0.257812,0.005879,0.005948,170.044,0.257812,0.280984,10.0,10.0,1.0,7.0,False
