policy,avg_ppl,ppl_wikitext,ppl_pg19,kept_fraction_ppl,tpot_s,ttft_s,throughput_tok_s,kept_fraction_prompt,flops_ratio_vs_dense,avg_ppl_rank,tpot_s_rank,flops_ratio_vs_dense_rank,balanced_rank,pareto_frontier,selected
expected,22.407007,10.791226,34.022788,0.375,0.006006,0.006465,166.101,0.375,0.394513,3.0,2.0,1.0,2.0,True,True
snapkv,37.5092865,42.249977,32.768596,0.375,0.005992,0.006072,166.83,0.375,0.394513,8.0,1.0,1.0,3.3333333333333335,True,False
expected_soft_pyramid,22.0523405,10.727383,33.377298,0.375,0.009635,0.006126,104.984,0.375,0.394513,1.0,11.0,1.0,4.333333333333333,True,False
expected_pyramid,22.3994095,11.897993,32.900826,0.375977,0.009366,0.009069,106.871,0.375977,0.395459,2.0,10.0,9.0,7.0,True,False
hybrid_soft_pyramid,31.1730985,29.895598,32.450599,0.375,0.006138,0.006818,162.366,0.375,0.394513,4.0,4.0,1.0,3.0,False,False
hybrid_expected_observed,31.201566500000002,29.79869,32.604443,0.375,0.006207,0.006979,160.496,0.375,0.394513,5.0,5.0,1.0,3.6666666666666665,False,False
streaming,44.380984,56.278326,32.483642,0.375,0.006355,0.006441,157.296,0.375,0.394513,9.0,6.0,1.0,5.333333333333333,False,False
observed,34.4615225,37.188109,31.734936,0.375,0.007958,0.010016,124.646,0.375,0.394513,7.0,9.0,1.0,5.666666666666667,False,False
pyramidkv,33.705196,35.320203,32.090189,0.375977,0.006092,0.006203,164.044,0.375977,0.395459,6.0,3.0,9.0,6.0,False,False
tova,45.283266999999995,57.403842,33.162692,0.375,0.006774,0.006349,147.916,0.375,0.394513,10.0,7.0,1.0,6.0,False,False
layer_adaptive_expected_pyramid,46.355475,59.637504,33.073446,0.375977,0.007341,0.012396,133.35,0.375977,0.395459,11.0,8.0,9.0,9.333333333333334,False,False
